标题,时间,来源,内容
全国住房城乡建设工作会议解读 2015稳字当头,2015/1/5 10:24,中国房地产报,平稳健康发展是2015年房地产运行的国家定调。12月19日，住房和城乡建设部部长、党组书记陈政高在全国住房城乡建设工作会议上作题为《勇于担当，突破重点，努力开创住房城乡建设事业新局面》的讲话。陈政高在讲话中数次提到房地产市场&ldquo;平稳&rdquo;二字，提出要促进房地产市场平稳健康发展。&ldquo;房地产市场现在处于比较平稳的态势，暂时没有大起大落的迹象。因此陈部长提出明年维持房地产市场健康平稳运行。&rdquo;住建部政策研究中心原副主任王珏林在接受中国房地产报记者采访时表示。复杂局面下的平稳&ldquo;今年讨论最多的是下行问题，房地产投资增速从20%降到12%，特别是9月、10月投资增速不足10%。下降速度相当快。&rdquo;中国房地产研究会副会长顾云昌在接受过中国房地产报记者采访时认为，应该看到全国住建工作会议提出的&ldquo;促进房地产市场平稳健康发展&rdquo;在新的市场环境下的新含义。而令人瞩目的是报告中用的是&ldquo;促进&rdquo;一词，凸显其&ldquo;托底&rdquo;房地产市场的意味。对于明年房地产管理，陈政高提出，2015年要准确把握房地产市场运行中出现的新情况、新问题，注意地区间的差异，跟踪市场走势，积极应对，主动作为，促进房地产市场平稳健康发展。这样的托底式&ldquo;维稳&rdquo;在2014年的政策组合中已有所体现。住建部在总结2013年房地产市场管理情况时说：&ldquo;今年，住房城乡建设系统努力应对房地产市场复杂局面。会同有关部门积极采取措施，总体上保持了房地产市场平稳运行。&rdquo;&ldquo;9&middot;30&rdquo;新政正是住建部会同有关部门调整了差别化的房贷政策，进一步放开了行政干预。地方将有更大自主权住建部对房地产的调控定调是平稳，而没有提具体措施，这给地方政府留有很大的政策空间，明年各地将有更大的自主权。顾云昌对于未来的房地产市场持谨慎乐观的态度。在他看来，经济新常态下，房地产市场还有两个空间，分别是市场空间和政策空间。陈政高在讲话中提到，&ldquo;随着新型城镇化的推进，相当数量的新市民的住房问题还没有解决，相当数量的城市居民对改善性住房条件还有新的期待。&rdquo;顾云昌认为，这两类人群就是房地产市场巨大的市场空间。另一方面，政策也存在空间。&ldquo;尽管现在已经放松了限购、限贷，但政策还没有完全松绑。比如一线城市还在限购。现在首套住房首付比例30%，过去实行过首套房20%的首付比例。首套房利率的七折优惠也还远远没有达到。其中首付比例和房贷利率是对房地产市场起决定性作用的措施。&rdquo;顾云昌表示。大规模保障房建设进入尾声在全国住房城乡建设工作会议上，陈政高部长公布明年的保障性安居工程建设任务。2015年将继续推进保障性安居工程建设，计划新开工700万套，基本建成480万套。这一任务量和2014年持平。值得注意的是，报告中提出既要按需新建公租房，又要注意通过市场筹集房源，&ldquo;补砖头&rdquo;、&ldquo;补人头&rdquo;并举。&ldquo;&lsquo;补砖头&rsquo;是指新建保障房;&lsquo;补人头&rsquo;是指货币补贴。这个提法已经有十多年了，像前些年南昌、常州、长沙都采取过&lsquo;补人头&rsquo;的做法。过去只是&lsquo;补人头&rsquo;推得较慢，&lsquo;补砖头&rsquo;推得快一些。&rdquo;王珏林告诉记者。&ldquo;按照保障房的门槛设定条件，符合条件的人群可以获得按照住房面积、租金核算的货币补贴。获得补贴的人可以用这笔钱到市场上租房，选择也更多样化。&rdquo;在王珏林看来，&ldquo;只要解决中低收入者的住房问题，改善其住房条件，哪种方式都可以，重要的是提高保障房效率，讲究效果而不是过程。&rdquo;2014年全国住建工作会议提出&ldquo;注意通过市场筹集房源&rdquo;和&ldquo;补砖头与补人头并举&rdquo;，加之&ldquo;十二五&rdquo;期间3600万套保障房建设在2015年基本完成，意味着连续五年的大规模保障房建设正在进入尾声，新的住房保障形式正在浮出水面。顾云昌也认为，3600万套保障房任务到明年就基本完成了，3600万套总体目标完成以后，从数量上估计不会有这么大规模了。以现有存量房盘活保障房供应，而且用货币补贴的方法更灵活一些，把保障房市场和商品房市场联系在一起。
快乐奔跑一路同行,2015/1/5 10:26,搜房网,2014年12月13日，&ldquo;金融街&bull;悦跑会&rdquo;天津站马拉松活动在风景优美的武清南湖拉开了帷幕。今天阳光明媚，洒在南湖湖面上泛起点点金光，不仅为这冬日的湖景增添了几分情趣，更让参赛者奔跑的热情高涨。参加本次活动的包括天津公司、武清区政府、金融街物业公司、金融街瑞吉酒店、首都电影院、保利公司、盛世鑫和以及写字楼客户等，共300余人。&ldquo;金融街&bull;悦跑会&rdquo;马拉松天津站正式启程秉承金融街集团董事长王功伟在&ldquo;悦跑汇&bull;北京站&rdquo;起跑仪式讲话上的精神&mdash;&mdash;&ldquo;快乐奔跑，一路同行&rdquo;，此次活动在为马拉松爱好者提供了快乐体验的同时，也向全社会传播关注健康、积极运动的理念，吸引商界人士对跑步的热爱并影响其所在机构关注员工健康，推动员工运动。早上10：00，在起跑仪式上，全体参赛者们首先满怀热情地聆听了武清区人大常委会主任韩胜军致欢迎辞，随后金融街天津公司董事长祝艳辉讲话，祝总首先传达了金融街集团领导对本次活动的关心与支持，同时也表达了对一直以来支持金融街天津公司发展的商界以及政界各方人士的感谢，最后号召并鼓励了所有参赛们&ldquo;快乐奔跑，一路同行&rdquo;。经过热身，参赛者们蓄势待发。随着枪声的响起，全体人员如离弦之箭向前冲去，让&ldquo;快乐奔跑、一路同行&rdquo;的精神在武清湖边编织了一道靓丽的风景线。活动结束，领导们为所有参赛者颁发了奖牌，此别具匠心的奖牌将金融街在天津的地标性建筑&mdash;&mdash;天津环球金融中心，与悦跑汇天津活动形象完美的结合深刻诠释了&ldquo;金融街深耕天津&rdquo;的主题。金融街深耕天津 四盘同辉兑现承诺金融街控股作为中国商务地产领军企业，秉承&ldquo;建筑城市精神，提升区域价值&rdquo;的企业使命，怀着城市运营和发展的伟大梦想，从金融街津门、津塔到金融街（南开）中心、金融街（和平）中心再到金融街融汇，专注选择津门繁茂的城市中央，专注地标性的精神领袖，2014年不断兑现承诺，也不断地改变着天津这座不断蓬勃发展的城市！从天津环球金融中心到金融街（南开）中心、金融街（和平）中心，再到金融街融汇，金融街控股雄踞津城各个核心区域，以&ldquo;一流地段、优质产品、顶级服务&rdquo;为核心价值导向，不断实现着金融、地产、商业的完美融合，打造一个又一个城市级区域新地标！迈向2015年，金融街必将进一步深耕天津，以更多优质项目兑现对整座城市的承诺！【咨询热线】金融街（南开）中心：022&mdash;23689999金融街（和平）中心：022&mdash;58900888金融街融汇：022&mdash;59906660搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
感恩2014“一路上有你”,2015/1/5 10:28,搜房网,2014年，金融街天津作为中国商务地产领军企业，秉承&ldquo;建筑城市精神，提升区域价值&rdquo;的企业使命，怀着城市运营和发展的伟大梦想，在您的陪伴下，从金融街（和平）中心融御、金融街（南开）中心到金融街融汇，专注选择繁茂的城市中央，专筑地标性的精神领袖，不断兑现承诺，也不断地改变着天津这座不断蓬勃发展的城市。金融街（南开）中心：驱动世界的力量金融街（南开）中心，雄踞天津城市战略枢纽，聚焦南京路中轴硬核，囊括甲级写字楼、顶级旗舰商业、法式洋房群及看景公馆，300亿投资缔造城市巅峰之上的高端综合体，再创天津时代传奇。2014年承诺兑现：商务现房盛大交付，首创4C资产管理服务平台，5万平米专属商业配套，携手知名实力企业，同步天津未来。现推出特惠户型，赠送车位，先到先得，恭候莅临。金融街（和平）中心融御：创造天津新高端每个生活在天津的人，都有一颗向往和平的心。金融街（和平）中心融御，金融街控股倾力打造的和平宜居新地标，选址海河最美黄金节点，凝聚一城醇熟配套，为都市精英们量身缔造，满足更多人对和平与海河的眷恋之情。现推出年终答谢，超值回馈活动，恭迎品鉴。金融街融汇：你的生活你做主金融街融汇精选华苑学府区，90-110平米国际精雕洋房定制计划全城盛大启幕，挑你所爱，选你所选，4万平米园林，7条散步甬道，6大主题园林，3条归家主线，全力兑现你的生活梦想。赛象外展现场已开放，到访有礼。2014年即将落幕，全新的一年即将开启。金融街控股天津感谢广大购房者2014年的陪伴与成长，在新的一年里，金融街控股天津将一如既往的&ldquo;用心、用智&rdquo;，兑现每一条承诺，与广大购房者一起开创繁荣的明天！【咨询热线】金融街（南开）中心：022&mdash;23689999金融街（和平）中心：022&mdash;58900888金融街融汇：022&mdash;59906660搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
不是所有综合体都叫做“地标”,2015/1/5 10:30,搜房网,随着城市经济实力的不断发展，一座座城市综合体项目拔地而起。然而，不是所有的城市综合体都能称之为&ldquo;地标&rdquo;。金融街控股，只做无可替代的地标建筑，引领津城商务与居住风尚！核心地段价值可圈可点从天津环球金融中心到金融街（南开）中心、金融街（和平）中心，再到金融街融汇，金融街控股雄踞津城各个核心区域，以&ldquo;一流地段、优质产品、顶级服务&rdquo;为核心价值导向，不断实现着金融、地产、商业的完美融合，打造一个又一个城市级区域新地标。顶级效应 引领城市精神随着城市不断发展，对地标建筑的需求越来越强劲，将生活、工作、购物、娱乐融为一体的城市综合体备受热捧。金融街控股坚持顶级效应，环球金融中心高达336.9米的世界级地标写字楼、金融街（南开）中心集甲级写字楼、顶级旗舰商业、低密墅质洋房、高层住宅为一体的区域地标，都在不断刷新城市纪录引领城市精神。&ldquo;内外兼修&rdquo; 成就金字品质随着房地产行业的成熟发展，各路开发商都在产品力上不断提升。对于&ldquo;高端&rdquo;的界定，已不再仅仅停留在产品从内部空间、建筑立面、公共空间、园区景观等硬件表现上，顶级服务的内在品质也越来越为人所重视。金融街控股从为业主提供更多的人文、圈层上的软性服务出发，金融街（南开）中心Co-working联合办公、独创4C服务，不断升级着业主的人文环境、文化圈层，成就&ldquo;内外兼修&rdquo;的金字品质。4C服务中心让业主可享受足不出户、从身体到精神的全方位支持！垂询热线：4000 022 402金融街（南开）中心主题商街即将启幕，敬请期待！搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
世界500强和小微企业扎堆进驻的奥妙,2015/1/5 10:34,搜房网,自8月迎来企业的集中入驻、9月4C资产管理服务体系成功落地、10月、11月商街店铺陆续开放开业，金融街（南开）中心在今年下半年不断迎来超高人气，更成就了津城最受追捧的主题式商务楼宇。很多人讶异：金融街（南开）中心有怎样的魅力，能够吸引包括世界500强和众多中小企业、创业公司的扎堆进驻？今天，我们就一起走进金融街（南开）中心，揭开其&ldquo;梦工厂&rdquo;背后的奥妙。56-1700平米产品定位，满足不同企业需求写字楼产品，到底多大的面积最合适？这个&ldquo;关键&rdquo;的面积段并没有统一的标准答案，只有通过市场来进行检验。经过对天津市所有高端写字楼的调研和与近百家中小企业需求沟通后，金融街天津公司项目团队敏锐地发现，中小企业对于写字楼的需求非常旺盛，而目前市场上几乎没有与之匹配的办公面积。因此，在产品设计之初，团队负责人带领集思广益，深入研究市场产品，将一线销售的意见与设计公司的意见相结合，一次次的进行产品研发与设计优化，最终确定56-1700平米产品，全方位满足不同企业需求。精研企业需求，4C让企业无后顾之忧做好了产品，项目团队开始研究一个全行业从未涉及的重要课题：如何做好服务？通过大量的考察，项目团队发现，初创企业行政功能不完善、商务人群常加班、压力大、没时间锻炼、物业修理拖延是中小企业最关心的问题。为了给企业提供最好的服务，金融街（南开）中心首创了&ldquo;4C服务&rdquo;。选择服务好、价格合理的商务服务公司进驻、引进主题餐厅、健身房以及儿童乐园、洗衣房、家政公司等商务生活配套设施进驻主题上街，满足了企业客户和商务人群方方面面的需要。在金融街（南开）中心，&ldquo;4C服务中心&rdquo;帮你预定会议室、找商务合作伙伴；订咖啡、解决报修问题，一个400电话全部解决，完全不用转来转去；完全解决商务人士的后顾之忧。产品与服务精益求精，公共空间提供更多沟通金融街（南开）中心倡导Co-working联合办公理念，理念是&ldquo;一个人就是一个公司&rdquo;，旨在通过精益求精的产品和更完备的服务，助力中小企业发展，让每一份创业热情都在此点燃、永不熄灭。如今的金融街（南开）中心，汇聚了包括世界500强和创业公司在内的大大小小的企业，大家集合在一个大平台，共享资源和服务，想必会发现更多的商机。办公的更多可能，金融街让我们看到了金融街的理念是：不把建筑视作汪洋大海中的孤岛而是充分挖掘建筑内在的趣味性并努力营造新鲜感。21年间，在开发的每一个项目中金融街总在不断探索沟通的本质，其本意即解放，它不仅让身体脱离呆板的格子间更是一种思维上的变革。金融街天津公司认为，梦想永远是现在式，而绝非将来式！就这样，一支梦之队，满载激情与理想，创造了一座&ldquo;梦工厂&rdquo;。金融街（南开）中心，只为更多&ldquo;梦之队&rdquo;一起筑梦！4C服务中心让业主可享受足不出户、从身体到精神的全方位支持！垂询热线：4000022 402金融街（南开）中心主题商街即将启幕，敬请期待！搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
两家境外基金注资10亿 万达电商估值飙升至200亿,2015/1/5 10:36,北京商报,北京商报讯(记者 张绪旺)兵马未动，粮草先行。万达集团昨日披露，两家境外互联网投资基金出资10亿元，获得万达电商5%的股份。此次万达电商引入的财务投资人分别为盛科有限公司及香港虚德仁道电商投资有限公司，两者同为互联网投资基金，作为财务投资方，两公司投资后分别持有万达电商3%和2%的股份，这使得万达电商的估值飙升到200亿元。增发后，王健林和万达商业仍是万达电商的绝对控股方。此外，万达电商还将在今年四季度启动第二轮募资。实际上，万达电商公司去年8月29日才成立，注册资金50亿元。当时，万达已经把电子商务列为公司四大支柱产业之一，因此在资本运作之外，外界更关注&ldquo;腾百万&rdquo;联姻的战略意义。按照计划，万达电商不会重走淘宝、京东之路，而是专注O2O领域。 针对业务进展，万达电商表示，正有序展开，免费WiFi布局完成，beacon(利用低功耗蓝牙技术进行位置感知，便于对周边顾客进行信息推送)技术完成试点，大数据中心已启动建设，几十款O2O服务软件正在研发中，预计四季度全面上线运行。尽管还无从得知万达电商在消费者面前的呈现形式，但坊间猜测，类似于院线、商场等大众消费性业务，万达肯定都要开通一个线上入口，尤其是支付环节，比较容易的切入点是大规模促销和会员体系转化。
用气质培养出来的生活 总是那么耐人寻味,2015/1/5 10:36,搜房网,去过法国的人，都会为法国的建筑、历史古迹、文化氛围而深深地震撼。然而惊叹之余，更无法忘怀的是法国浪漫、内敛的艺术气息和优雅的生活氛围。如今，一个兼得法式建筑精粹和法兰西生活品位的法式人文艺术宅邸&mdash;&mdash;金融街融汇，即将呈现。南法自然风格园林兼具奢华与内敛、浪漫与优雅无论是巴洛克风格还是法式宫廷特色，都已经成为高端法式园林社区的代表之作。讲究质感，崇尚奢华，注重仪式，已经成为法兰西高贵浪漫的解读。法式园林所坚持的中央轴线与开放性的礼序布局，所形成的强大的纵深运动感，将人的想象释放到无限之中，独特魅力彰显无遗。普利斯将业主想法融于设计、带入生活如何让法式园林的美更好地融于设计、带入生活，普利斯恐怕是全球最具发言权的景观设计公司了。作为一家起源澳洲、专业且成果卓越的设计公司，普利斯以时尚和创新得享盛誉，北京长青湾、上海的绿城等数不胜数的经典之作无不彰显着普利斯的水准与实力。普利斯致力于提高生活品质和建筑环境，营造&ldquo;我们的PLACE&rdquo;：&mdash;&mdash;普利斯服务客户覆盖澳洲、亚洲、中东及太平洋地区，目前已拥有超过120名具备全面技能及丰富经验的专业设计人员，而且仍在继续发展。&mdash;&mdash;各地的普利斯汇聚为一个备受赞誉的专业设计团队，通过科学分析及长远发展性见解，提供多样化的规划及设计成果，从而达到高度创新的设计方案。这样的做法突显了设计方案的多样化，同时，在通力协作中迸发出有更广的设计理念。&mdash;&mdash;普利斯团队对所从事的设计规划、城市规划及环保顾问工作充满热情。作为创新化的专业团队，普利斯在设计金融街融汇项目之初，就以业主的想法为导向，将业主的想法融于设计、带入生活。金融街融汇量身定制承诺之作金融街融汇4万平米园林由普利斯量身定制，7条散步甬道，6大主题园林，3条归家主线，1条专用慢跑道&hellip;&hellip;将南法自然园林的中央轴线与开放性礼序布局的特点演绎到极致，城市广场、读书密林、亲子乐园、樱花大道、瑜伽草坪&hellip;&hellip;无不为你的归家增添更多的乐趣，全力兑现着你的生活梦想。金融街融汇，挑你所爱，选你所选。是时候换个地方，重新开始你的新生活，自己做主了！【预告讯息】金融街&bull;融汇项目外展场已在天津赛象酒店盛大亮相，到访有惊喜礼品！销售热线：59906660搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
别以为她只是个写字楼！,2015/1/5 10:38,搜房网,还在&ldquo;千门一面&rdquo;的灰色盒子空间让你的员工枯守8小时？&ldquo;端着咖啡在写字楼的花园里谈天说地&rdquo;还是一种奢望？你out了！金融街（南开）中心将艺术、人文、联合、自然的休闲式办公理念融入建筑的每个细节。在这里，生机、活力、能量体才是写字楼的代名词，人文、科技、艺术的理想集合才是写字楼的最高境界！每一个空间都是艺术化的&ldquo;概念店&rdquo;只有融合了艺术和文化，建筑才能彻底注入不朽的思想和灵魂，实现与外界的沟通与对话。金融街（南开）中心，将鲜明艺术语言和文化符号注入建筑的每一个细节，建筑设计、景观、人文雕塑之中的无不体现着艺术品味。适时组织的摄影展、书画展、雕塑展，充满亲密情调的咖啡屋&hellip;&hellip;让每一个空间都化身为艺术化的&ldquo;概念店&rdquo;。在创新中传承城市人文之脉适时吸纳外来文化精髓，传承城市人文文之脉，让金融街（南开）中心更具生命力。在这里，人文元素与良好的环境视野有机融合，兼备标准办公空间舒适度与效率度的统一，加上企业良好的形象系统与人文气质突出的装饰，一个更具亲和力的办公空间卓然天成！联合凝聚力量在当下这样一个现代办公时代，靠&ldquo;单打独斗&rdquo;成就一番事业早已成为&ldquo;过去式&rdquo;！交流与合作才能凝聚力量。风靡全球的Co-working联合办公模式应势而来，全面进驻金融街（南开）中心！Co-working的引入，解决了弹性工作制下雇员对设备及交流的需求，满足了各类企业汇聚带来的信息尽享优势，将从办公空间开始形成一条完整的企业生态链条，真正助力企业建造一个生机勃勃的&ldquo;财富孵化器&rdquo;。闹市中的&ldquo;自然&rdquo;绿洲金融街（南开）中在写字楼内部注入&ldquo;自然&rdquo;元素，造就津门首席2000平方米四季花厅，这种久违了的&ldquo;生态环境&rdquo;让人仿佛置身世外，流连忘返；大面积的绿植点缀，为空间增添幽静氛围，轩敞的挑空和透明天花顶的运用，能最大程度利用自然光，充满昂扬向上的生命张力！当艺术、人文、自然、联合四大主题贯穿，以&ldquo;绿色&rdquo;生态办公集群的面貌展现在你面前的金融街（南开）中心，已然成为具有生命张力的新一代写字楼标杆！咨询热线：022&mdash;23689999搜房声明：凡注明“来源：搜房网”或“来源：搜房别墅网”的所有文字图片等资料，版权均属搜房网所有，转载请注明出处；文章内容仅供参考，不构成投资建议，也不代表搜房赞同其观点。
2015年北京产业规划 海淀将建北部生态科技新区,2015/1/5 11:05,北京商报, 2014年，京津冀协同一体化发展上升为国家战略，这个已经提及十数年的概念开始大步实施，被称为中国腹地的北京、天津、河北，其经济格局正在重塑；2014年，北京确定了政治中心、文化中心、国际交往中心和科技创新中心“四个中心”的城市核心功能战略定位，非首都核心功能正在加速向外疏解。在这样的背景下，北京转型发展进入了一个新纪元。岁末年初，北京再次传来多个提速“转身”的好消息。作为北京经济社会变革的见证者和记录者，《北京商报·区域经济周刊》将在2015年于北京16个区县中遴选出具有代表性的产业园区或是功能区，在不同的时间节点逐一走访，形成《2015 北京产业看哪里》系列报道。我们期望这组报道能够呈现出北京在转型发展中的点点滴滴；更希望通过这组报道勾勒出北京未来的产业发展图景，当然还有它们面临的机遇与挑战。本期权当是这组报道的一个不完全“目录”。北京科技创新中心建设支点昌平 北京科技商务区2015年看点：首个启动项目年底交付未来看点：建成30万-40万产业人口新城不久前，预计总投资高达千亿元的北京科技商务区(以下简称“TBD”)首个启动项目——TBD云集中心（资料、团购、论坛）正式亮相，同时传出其五大功能板块规划业已落地。TBD云集中心总建筑面积24万平方米，是一个全商务集群项目。今年底TBD的首个项目云集中心就能交付，2015-2020年将基本形成一个成熟的区域。TBD的发展和中关村北扩息息相关，这里将成为中关村北扩的核心。据介绍，TBD占地面积55平方公里，其中水域面积占地22平方公里，由北京科技商务区负责TBD整体规划、一级开发、产业招商，包括基础设施建设等。整个TBD就是在建一个新城，未来可容纳30万-40万的产业人口，预计整体投融资1000多亿元，开发周期达10-15年。海淀 北部生态科技新区2015年看点：生态城市现雏形未来看点：2020年实现收入8000亿元海淀北部生态科技新区作为海淀区三大功能区之一，是北京落实首都功能核心区和科技创新中心区的载体之一，是“十二五”时期北京市重点规划建设的“两城两带”高新技术产业发展空间布局的重要组成部分。2013年，海淀提出将这里建设成为中关村创新中心区(以下简称“CID”)，规划面积226平方公里。目前，CID建筑面积1000万平方米，引入了以华为、百度、联想为代表的近2000家知名科技企业，初步形成了以新一代信息技术企业为主体的产业格局，年收入达到3300亿元。到2020年，海淀北部将建设成为包括45万-62万的就业人口在内的百万人口新区，实现收入8000亿元。北京国际交往中心建设支点怀柔 国际会都2015年看点：配套服务功能将提升未来看点：建成首都国际交往窗口作为2014年APEC会议的承办地，北京雁栖湖生态发展示范区向世界展示了一个全新的怀柔。怀柔在北京市格局中有三个功能定位：一是首都东部发展带上的重要节点，国际交往中心的重要组成部分；二是首都的生态涵养发展区；三是首都的文化科技高端产业新区。据介绍，怀柔将围绕促进会议会展产业发展，出台会展产业规划和扶持政策，促进会展业与文化、科技、旅游、现代制造等产业融合发展，加快打造极具国际影响力的现代化国际会都。同时，怀柔将结合今年“十三五”规划的制定，不断提升相应的配套服务功能。京津冀一体化支点大兴 新机场临空经济区2015年看点：京冀共建临空经济区未来看点：打造成为国家级新区被专家称为京津冀协同发展“新引擎”的北京新机场几天前破土动工，计划2019年建成投用。北京新机场项目工期五年，按2025年旅客吞吐量7200万人次、货邮吞吐量200万吨、飞机起降量62万架次的目标设计，总投资799.8亿元。有消息称，依托北京新机场京冀正酝酿共建临空经济区，其最大亮点是新机场与临空经济区起步区同步建成。目前北京市规划建议基本思路已形成，涉及内容包括区域协同发展、强调规划的调控、科学选择临空核心区的功能和产业、严格控制人口规模等几个方面。据知情人士透露，计划建设的临空经济区将被打造成为国家级新区，成为京津冀一体化过程中的改革试验区。北京文化中心建设支点丰台 国家数字出版基地2015年看点：即将揭牌未来看点：2020年产值达800亿元北京国家数字出版基地位于北京市丰台区榆树庄，规划占地面积3.6平方公里，分为核心区、综合配套和生活配套等。基地核心区规划占地28公顷，建筑面积71万平方米，总投资约91亿元人民币。作为国家级数字出版基地，其已列入北京市政府“折子工程”。基地定位为建设国际一流的数字出版及文化创意园区，融合文化、科技和金融产业，打造北京新文化硅谷和中国新媒体文化创意产业“大脑”。基地预计2020年建成，入驻企业达600家，总产值将达到800亿元，入驻企业可享受国家及北京市相关优惠政策。朝阳 传媒产业走廊2015年看点：收入将达2000亿元未来看点：2020年收入超5000亿元北京CBD－定福庄国际传媒产业走廊是全国首个年收入超过千亿元的文化传媒产业功能区。不久前，这里再添5个特色文化创意产业园区，新增50万平方米的文创产业发展空间。目前，“传媒走廊”区域已聚集文化创意企业1.8万余家，50余个文化产业重点基地，2014年预计规模以上文创企业营业收入突破1800亿元。北京CBD－定福庄国际传媒产业走廊核心区由北京CBD商务中心区、定福庄传媒文化产业区两个产业功能区构成。预计到2015年，“传媒走廊”文化创意产业年收入将超过2000亿元，到2020年前后争取突破5000亿元。通州 环球影城2015年看点：投资将现虹吸效应未来看点：2019年一期建成日前，从北京首寰文化旅游投资有限公司传出消息，已获国家发改委批准的北京环球影城，总投资将超700亿元规模，仅首期获批项目就达242亿元。环球影城由北京首寰文化旅游投资有限公司和康卡斯特NBC环球公司旗下的环球主题公园及度假区集团合资拥有，将是我国首个环球主题公园，预计2019年一期建成营业，能够接待1000万人次左右。该项目建设地点位于北京通州文化旅游区。此次北京环球主题公园对于投资数额的发声远超市场预期，不仅将进一步加快通州新城规划的实施，更将产生极强的投资虹吸效应。北京商报记者 方彬楠
北京各大银行房贷额度增加 首套利率最低8.8折,2015/1/5 11:05,北京商报, 北京商报讯(记者 孟凡霞)新年伊始，由于各大银行内部新增贷款额度，1月银行集中放贷，再现市场“开门红”。北京商报记者昨日了解到，除去银行内部批单在1月获得较为集中的发放外，首套房贷款利率保持最低8.8折优惠，年初的房贷市场继续延续去年底的回暖势头。市民刘先生转了几个星期的楼盘，才找到一套心仪的二手房，为了尽快住上新房，他在去年12月29日向一家国有大行提交了房贷申请，没想到几天就完成了审批，该行承诺最晚1月11日前就能放款。北京商报记者从中介机构了解到，由于年初银行内部新增贷款额度，促使银行加快了贷款的审批和办理速度。各大银行也在年初这段时间针对去年末盘点清账时积压的批单进行集中放贷，目前各大银行的放款周期最快在5-7天左右。贷款机构“伟嘉安捷”分析师吴昊指出，年初银行放贷加快缘于去年批单量的减少。据“伟嘉安捷”观察发现，由于去年底信贷融资环境较为优越，银行在去年底时仍能保持正常贷款审批，所以内部积压的批单量相比前一年明显减少，因此也导致银行在1月时能够保持放款的畅通，年初各家银行在放款上面较去年底进一步加速。吴昊对北京商报记者表示，随着购房热情的逐步升温，压抑的购房需求将1月的房贷市场得到释放，因此预计1月整体房贷市场的交易量或将迎来“开门红”。除去集中放贷以外，各家银行在年初仍然保持着利率优惠。融360日前公布的监测数据显示，北京首套房平均利率9.4折。在被监测的28家银行中，汇丰银行、农业银行提供8.8折优惠，交通银行、招商银行、浦发银行等8家银行提供9折利率。融360信贷专家徐瑾认为，房贷平均利率下行是大势所趋，但由于银行资金成本整体过高，因此房贷利率优惠重返7折时代概率极小，且大规模出现8.5折优惠可能性也较小。值得注意的是，由于央行去年11月底曾采取过降息措施，因此存量房贷客户的月供应当从元旦之后开始减少。但如果客户当时与银行约定的是按照自然年的月份来调整利息，那客户暂时不能享受更加实惠的月供。例如，王小姐在2010年5月贷款买了一套70平方米的两居室，当时贷款100万元，她和银行签订贷款协议时的调息方式选择的是按自然年周期调息，那么就要等到2015年5月，每个月的月供才会产生变化。此外，对于申请等额本金还款的借款人来说，在1月的还款日之前最好提前存入一部分备用资金用来还款。因为贷款利率下降后，每月月供中的本金部分也会相应提高，所以很可能造成1月的月供金额不降反增，到2月时月供才真正减少。
